,rank,name,author,price,book_type,stars,reviews,link
69,#70,"The Free Voice: On Democracy, Culture and the Nation (Revised and Updated Edition)",Ravish Kumar,209.00,Paperback,4.6 out of 5 stars,316,https://www.amazon.in/Free-Voice-Democracy-Culture-Revised/dp/9389231191?_encoding=UTF8&psc=1
70,#71,Wren & Martin High School English Grammar and Composition Book (Regular Edition),Rao N,298.00,Paperback,4.4 out of 5 stars,"2,666",https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1
71,#72,Fundamentals of Essay and Answer Writing,Anudeep Durishetty,404.00,Paperback,4.9 out of 5 stars,30,https://www.amazon.in/Fundamentals-Answer-Writing-Anudeep-Durishetty/dp/8194822718?_encoding=UTF8&psc=1
72,#73,Lines and Curves (Pattern Writing) - Part 1,Dreamland Publications,80.00,Paperback,4.4 out of 5 stars,"1,436",https://www.amazon.in/Lines-Curves-Pattern-Writing-Part/dp/1730152287?_encoding=UTF8&psc=1
73,#74,Indian Art and Culture for Civil Services and other Competitive Examinations,Nitin Singhania,468.00,Paperback,4.6 out of 5 stars,"1,257",https://www.amazon.in/Indian-Culture-Services-Competitive-Examinations/dp/9353168198?_encoding=UTF8&psc=1
74,#75,Diary of a Wimpy Kid: The Deep End (Book 15),Jeff Kinney,408.14,Hardcover,4.7 out of 5 stars,"13,981",https://www.amazon.in/Diary-Wimpy-Kid-Deep-Book/dp/0241424143?_encoding=UTF8&psc=1
75,#76,101 Brain Booster Activity Book: Fun Activity Book For Children,Wonder House Books,119.00,Paperback,4.4 out of 5 stars,458,https://www.amazon.in/101-Brain-Booster-Activity-Book/dp/9388369793?_encoding=UTF8&psc=1
76,#77,My First Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,849.00,Board book,4.5 out of 5 stars,"2,306",https://www.amazon.in/First-Learning-Library-Box-Set/dp/9388369882?_encoding=UTF8&psc=1
77,#78,The Rudest Book Ever,Shwetabh Gangwar,181.00,Paperback,4.5 out of 5 stars,"2,717",https://www.amazon.in/Rudest-Book-Ever-Shwetabh-Gangwar/dp/9388754433?_encoding=UTF8&psc=1
78,#79,The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,136.00,Paperback,4.5 out of 5 stars,"5,841",https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312?_encoding=UTF8&psc=1
79,#80,Amazon Brand - Solimo Board Books for Kids (Set of 10),Solimo,409.00,Hardcover,4.5 out of 5 stars,"2,133",https://www.amazon.in/Amazon-Brand-Solimo-Board-Books/dp/B07BF3T95C?_encoding=UTF8&psc=1&smid=AT95IG9ONZD7S
80,#81,Fast Track Objective Arithmetic,Rajesh Verma,335.00,Paperback,4.4 out of 5 stars,"2,296",https://www.amazon.in/Track-Objective-Arithmetic-Rajesh-Verma/dp/9312149830?_encoding=UTF8&psc=1
81,#82,Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,239.00,Paperback,4.6 out of 5 stars,"5,062",https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295?_encoding=UTF8&psc=1
82,#83,ReWork: Change the Way You Work Forever,David Heinemeier Hansson,180.00,Paperback,4.3 out of 5 stars,"2,381",https://www.amazon.in/ReWork-Change-Way-Work-Forever/dp/0091929784?_encoding=UTF8&psc=1
83,#84,Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,314.00,Paperback,4.5 out of 5 stars,"3,910",https://www.amazon.in/Certificate-Physics-Human-Geography-Indian/dp/0195628160?_encoding=UTF8&psc=1
84,#85,Bharat Ki Rajvyavastha - Civil Seva Evam Anya Rajya Parikshao Hetu | 6th Edition (Hindi),M. Laxmikanth,467.00,Paperback,4.6 out of 5 stars,"1,411",https://www.amazon.in/Bharat-Ki-Rajvyavastha-Civil-Parikshao/dp/9389538483?_encoding=UTF8&psc=1
85,#86,Think & Grow Rich: THE 21st CENTURY EDITION,Napoleon Hill,119.00,Paperback,4.2 out of 5 stars,54,https://www.amazon.in/Think-Grow-Rich-21st-CENTURY/dp/9389931525?_encoding=UTF8&psc=1
